User,Location,Rating
27,"Aspen, Colorado",4.5
27,"Woodbury, Connecticut",2.5
27,"New York City, New York",3
28,"Houston, Texas",5
28,"Cape Town, South Africa",4.5
28,"Paris, France",2
28,"Aspen, Colorado",4
28,"El Paso, Texas",0.5
29,"New York City, New York",4.5
29,"Cabo San Lucas, Mexico",5
29,"Telluride, Colorado",4
29,"San Diego, California",4.5
30,"Cabo San Lucas, Mexico",5
30,"Telluride, Colorado",4.5
30,"New Orleans, Louisiana",3
30,"Seattle, Washington",5
30,"Harbour Island, Bahamas",5
31,"New York City, New York",4
31,"Cabo San Lucas, Mexico",4.5
31,"Los Angeles, California",1
31,"Paris, France",3
31,"London, UK",3.5
32,"Cabo San Lucas, Mexico",5
32,"Dubrovnik, Croatia",5
32,"Cape Town, South Africa",5
32,"Barcelona, Spain",5
32,"San Juan, Puerto Rico",5
33,"Nice, France",5
33,"Madrid, Spain",5
33,"Barcelona, Spain",5
33,"Amsterdam, Netherlands",5
33,"Rome, Italy",5
34,"San Juan, Puerto Rico",5
34,"Boston, Massachusetts",3.5
34,"Aspen, Colorado",4.5
34,"Cabo San Lucas, Mexico",5
34,"Gulf Shores, Alabama ",3
35,"Telluride, Colorado",4.5
35,"Aspen, Colorado",4.5
35,"New York City, New York",4.5
35,"New Orleans, Louisiana",4.5
36,"San Francisco, California",4
36,"London, UK",5
36,"Lima, Peru",5
36,"Vancouver, Canada",5
36,"New York City, New York",4
37,"Nice, France",5
37,"Paris, France",5
37,"Kitzbuel, Austria",4.5
37,"Hartwell, Georgia",5
37,"Tulum, Mexico",4
38,"New Orleans, Louisiana",5
38,"Nashville, Tennessee",4
38,"Tulum, Mexico",5
38,"Telluride, Colorado",4.5
38,"Key West, Florida",4
39,"Dublin, Ireland",3
39,"Rome, Italy",5
39,"Los Angeles, California",5
39,"Paris, France",4.5
39,"San Francisco, California",4.5
40,"Los Angeles, California",4.5
40,"San Francisco, California",5
40,"Boston, Massachusetts",4
40,"Florence, Italy",5
40,"Rome, Italy",5
41,"Key West, Florida",5
41,"Turks and Caicos, Turks and Caicos",5
41,"Miami, Florida",5
41,"Honolulu, Hawaii",5
42,"Gulf Shores, Alabama ",4
42,"Amsterdam, Netherlands",4
42,"Rehobeth, Delaware",2.5
42,"Watch Hill, Rhode Island",3
42,"St. John, Virgin Islands",3.5
43,"Cape Town, South Africa",5
43,"Boston, Massachusetts",3.5
43,"Seattle, Washington",4
43,"Phoenix, Arizona",4
43,"Chicago, Illinois",5
44,"New York City, New York",4.5
44,"Key West, Florida",4
44,"Los Angeles, California",5
44,"New Delhi, India",4.5
45,"Las Vegas, Nevada",2.5
45,"Lisbon, Portugal",5
45,"Kathmandu, Nepal",5
45,"Florence, Italy",5
45,"Paris, France",5
46,"Key West, Florida",4
46,"Sun Valley, Idaho",4
46,"Jackson Hole, Wyoming",4
46,"St. John, Virgin Islands",4.5
47,"Jackson Hole, Wyoming",4
47,"Dublin, Ireland",5
47,"Nice, France",5
47,"New Delhi, India",4.5
47,"Boston, Massachusetts",4
48,"San Francisco, California",4.5
48,"Los Angeles, California",4
48,"Albuquerque, New Mexico",4.5
48,"Denver, Colorado",5
48,"Boston, Massachusetts",3
49,"Seattle, Washington",4.5
49,"Honolulu, Hawaii",5
49,"Cape Town, South Africa",5
49,"San Diego, California",3.5
49,"Berlin, Germany",3.5
50,"Las Vegas, Nevada",3.5
50,"Honolulu, Hawaii",4.5
50,"Boston, Massachusetts",5
50,"Lake Tahoe, California",4.5
50,"Phoenix, Arizona",3
51,"Key West, Florida",3.5
51,"Barcelona, Spain",4
51,"Miami, Florida",4
51,"New York City, New York",4
51,"Boston, Massachusetts",4
52,"Lisbon, Portugal",5
52,"Las Vegas, Nevada",3
52,"Paris, France",5
52,"Vancouver, Canada",4
52,"Florence, Italy",5
53,"Lisbon, Portugal",4
53,"Kilimanjaro, Tanzania",5
53,"Nairobi, Kenya",5
53,"Ogunquit, Maine",5
53,"Paris, France",5
54,"Tokyo, Japan",4
54,"Boston, Massachusetts",5
54,"Washington DC, Washington DC",3
54,"New York City, New York",4.5
54,"Orlando, Florida",5
55,"Houston, Texas",4.5
55,"San Antonio, Texas",4
55,"New York City, New York",4
55,"San Francisco, California",4
55,"Denver, Colorado",3.5
56,"London, UK",5
56,"Paris, France",4
56,"Dublin, Ireland",3.5
56,"Amsterdam, Netherlands",3
56,"Brussels, Belgium",3.5
57,"Rehobeth, Delaware",4
57,"Ogunquit, Maine",4.5
57,"Ocean City, Maryland",2
57,"Omaha, Nebraska",2
58,"Toronto, Canada",4.5
58,"New York City, New York",5
58,"Washington DC, Washington DC",5
58,"Rehobeth, Delaware",4.5
58,"Ogunquit, Maine",5
59,"Copenhagen, Denmark",4.5
59,"Berlin, Germany",4
59,"Amsterdam, Netherlands",5
59,"Paris, France",4
59,"London, UK",4.5
60,"Lexington, Kentucky",5
60,"Dublin, Ireland",5
60,"New Delhi, India",5
60,"Nice, France",5
60,"Washington DC, Washington DC",5
61,"Osa Peninsula, Costa Rica",5
61,"Vancouver, Canada",5
61,"Boston, Massachusetts",1
61,"Red Frog Beach, Panama ",4.5
62,"Cape Town, South Africa",5
62,"St. John, Virgin Islands",5
62,"Telluride, Colorado",4.5
62,"Amsterdam, Netherlands",5
62,"Barcelona, Spain",3.5
63,"Cape Town, South Africa",5
63,"Ubud, Indonesia",4.5
63,"Istanbul, Turkey",5
63,"Berlin, Germany",4.5
63,"Buenos Aires, Argentina",4
64,"Belgrade, Serbia",5
64,"Dublin, Ireland",4
64,"Istanbul, Turkey",5
64,"Dubrovnik, Croatia",4.5
64,"Bratislava, Slovakia",3.5
65,"Barcelona, Spain",5
65,"London, UK",5
65,"Durham, North Carolina",5
65,"Boston, Massachusetts",3.5
65,"Cape Town, South Africa",4
66,"Lisbon, Portugal",4.5
66,"Toronto, Canada",5
66,"Nairobi, Kenya",3
66,"Kilimanjaro, Tanzania",5
66,"Ogunquit, Maine",4
67,"Telluride, Colorado",4
67,"Aspen, Colorado",5
67,"New York City, New York",3
67,"New Orleans, Louisiana",3
67,"Cabo San Lucas, Mexico",4
67,"Destin, Florida",4
67,"Houston, Texas",5
67,"Cape Town, South Africa",4
67,"Paris, France",2
67,"Nice, France",4
67,"Austin, Texas",5
67,"London, UK",4
67,"Gulf Shores, Alabama",2
67,"Orlando, Florida",2
67,"Omaha, Nebraska",2
67,"Denver, Colorado",4
67,"Los Angeles, California",3
67,"Phoenix, Arizona",3
67,"Boston, Massachusetts",4
67,"St. Louis, Missouri",3
67,"El Paso, Texas",1
67,"San Antonio, Texas",1
68,"Harbour Island, Bahamas",5
68,"Telluride, Colorado",5
68,"Aspen, Colorado",5
68,"New York City, New York",4
68,"New Orleans, Louisiana",4
68,"Cabo San Lucas, Mexico",5
68,"Destin, Florida",3
68,"Belize City, Belize",3
68,"Cayman, Cayman Islands",4
68,"Punta Cana, Domican Republic",2
68,"Turks and Caicos, Turks and Caicos",3
68,"Chicago, Illinois",3
68,"Houston, Texas",1
68,"Cape Town, South Africa",5
68,"Paris, France",5
68,"Nice, France",5
68,"Austin, Texas",5
68,"London, UK",5
68,"Gulf Shores, Alabama",4
68,"Jackson, Mississippi",3
68,"Orlando, Florida",3
68,"Geneva, Switzerland",3
68,"Dublin, Ireland",3
68,"Lexington, Kentucky",3
68,"Seoul, South Korea",4
68,"Vancouver, Canada",3
68,"Toronto, Canada",3
68,"Macau, China",5
68,"Lisbon, Portugal",3
68,"Rome, Italy",3
68,"Berlin, Germany",3
68,"Madrid, Spain",3
68,"Florence, Italy",3
68,"Milwaukee, Wisconsin",3
68,"Omaha, Nebraska",4
68,"Denver, Colorado",4
68,"San Diego, California",5
68,"Barcelona, Spain",3
68,"San Juan, Puerto Rico",4
68,"Athens, Greece",5
68,"St. John, Virgin Islands",5
68,"Miami, Florida",4
68,"Ogunquit, Maine",3
68,"Ocean City, Maryland",4
68,"Los Angeles, California",3
68,"Lake Tahoe, California",4
68,"Tokyo, Japan",3
68,"Copenhagen, Denmark",3
68,"Detroit, Michigan",3
68,"Phoenix, Arizona",4
68,"Boston, Massachusetts",3
68,"Lima, Peru",3
68,"Havana, Cuba",3
68,"San Francisco, California",4
68,"Istanbul, Turkey",5
68,"Rehobeth, Delaware",3
68,"Tulum, Mexico",3
68,"Durham, North Carolina",2
68,"St. Louis, Missouri",3
68,"Charlotte, North Carolina",3
68,"Key West, Florida",3
68,"Saigon, Vietnam",3
68,"Nashville, Tennessee",3
68,"Woodbury, Connecticut",3
68,"El Paso, Texas",3
68,"Seattle, Washington",3
68,"Dubrovnik, Croatia",3
68,"Amsterdam, Netherlands",3
68,"Kitzbuel, Austria",4
68,"Hartwell, Georgia",3
68,"Honolulu, Hawaii",4
68,"Watch Hill, Rhode Island",3
68,"New Delhi, India",3
68,"Las Vegas, Nevada",4
68,"Kathmandu, Nepal",3
68,"Sun Valley, Idaho",3
68,"Jackson Hole, Wyoming",4
68,"Albuquerque, New Mexico",5
68,"Kilimanjaro, Tanzania",4
68,"Nairobi, Kenya",3
68,"Washington D.C., U.S.",2
68,"San Antonio, Texas",1
68,"Brussels, Belgium",3
68,"Osa Peninsula, Costa Rica",3
68,"Red Frog Beach, Panama",3
68,"Ubud, Indonesia",3
68,"Buenos Aires, Argentina",5
68,"Belgrade, Serbia",3
68,"Bratislava, Slovakia",3
69,"New York City, New York",5
69,"Chicago, Illinois",4
69,"Cape Town, South Africa",5
69,"Paris, France",5
69,"Nice, France",5
69,"London, UK",4
69,"Seoul, South Korea",5
69,"Vancouver, Canada",4
69,"Toronto, Canada",5
69,"Macau, China",5
69,"Rome, Italy",4
69,"Madrid, Spain",5
69,"Barcelona, Spain",4
69,"Los Angeles, California",3
69,"Lake Tahoe, California",3
69,"Tokyo, Japan",5
69,"Boston, Massachusetts",5
69,"San Francisco, California",4
69,"Seattle, Washington",4
69,"Honolulu, Hawaii",5
69,"Las Vegas, Nevada",3
69,"Washington D.C., U.S.",4
70,"Harbour Island, Bahamas",5
70,"Telluride, Colorado",2
70,"Aspen, Colorado",2
70,"New York City, New York",3
70,"New Orleans, Louisiana",3
70,"Cabo San Lucas, Mexico",5
70,"Destin, Florida",4
70,"Belize City, Belize",2
70,"Cayman, Cayman Islands",5
70,"Punta Cana, Domican Republic",5
70,"Turks and Caicos, Turks and Caicos",5
70,"Chicago, Illinois",2
70,"Houston, Texas",1
70,"Cape Town, South Africa",5
70,"Paris, France",3
70,"Nice, France",3
71,"Aspen, Colorado",5
71,"New York City, New York",5
71,"New Orleans, Louisiana",5
71,"Chicago, Illinois",5
71,"Paris, France",5
71,"London, UK",4
71,"Jackson, Mississippi",3
71,"Orlando, Florida",5
71,"Geneva, Switzerland",5
71,"Dublin, Ireland",5
71,"Lexington, Kentucky",5
71,"San Diego, California",4
71,"Detroit, Michigan",5
71,"Boston, Massachusetts",5
71,"Durham, North Carolina",4
71,"Charlotte, North Carolina",4
71,"Nashville, Tennessee",4
71,"New Delhi, India",5
71,"Jackson Hole, Wyoming",5
71,"Albuquerque, New Mexico",5
71,"Washington D.C., U.S.",5
72,"New York City, New York",5
72,"New Orleans, Louisiana",2
72,"Chicago, Illinois",4
72,"Houston, Texas",2
72,"Paris, France",5
72,"Austin, Texas",5
72,"London, UK",4
72,"Orlando, Florida",5
72,"Geneva, Switzerland",4
72,"Dublin, Ireland",4
72,"St. John, Virgin Islands",3
72,"Miami, Florida",3
72,"Los Angeles, California",4
72,"Tokyo, Japan",5
72,"Boston, Massachusetts",3
72,"Durham, North Carolina",3
72,"Charlotte, North Carolina",3
72,"Nashville, Tennessee",3
72,"New Delhi, India",4
72,"Albuquerque, New Mexico",3
72,"Washington D.C., U.S.",4
73,"Harbour Island, Bahamas",5
73,"Telluride, Colorado",3
73,"Aspen, Colorado",4
73,"New York City, New York",3
73,"Cabo San Lucas, Mexico",5
73,"Destin, Florida",3
73,"Chicago, Illinois",4
73,"Houston, Texas",2
73,"Paris, France",4
73,"Austin, Texas",5
73,"Gulf Shores, Alabama",5
73,"Geneva, Switzerland",3
73,"Barcelona, Spain",5
73,"Athens, Greece",5
73,"Miami, Florida",3
73,"Los Angeles, California",4
73,"Lake Tahoe, California",5
73,"Detroit, Michigan",2
73,"El Paso, Texas",2
73,"Amsterdam, Netherlands",4
73,"Albuquerque, New Mexico",4
73,"San Antonio, Texas",3
74,"Telluride, Colorado",5
74,"Aspen, Colorado",5
74,"New York City, New York",4
74,"New Orleans, Louisiana",5
74,"Cabo San Lucas, Mexico",5
74,"Destin, Florida",4
74,"Cayman, Cayman Islands",5
74,"Houston, Texas",1
74,"Nice, France",5
74,"Austin, Texas",5
74,"Gulf Shores, Alabama",3
74,"Lexington, Kentucky",5
74,"Florence, Italy",5
74,"Denver, Colorado",3
74,"Barcelona, Spain",5
74,"Boston, Massachusetts",4
74,"San Francisco, California",4
74,"Nashville, Tennessee",4
74,"Las Vegas, Nevada",4
75,"Harbour Island, Bahamas",3
75,"Telluride, Colorado",2
75,"Aspen, Colorado",3
75,"New York City, New York",3
75,"New Orleans, Louisiana",2
75,"Cabo San Lucas, Mexico",2
75,"Destin, Florida",1
75,"Belize City, Belize",2
75,"Cayman, Cayman Islands",3
75,"Punta Cana, Domican Republic",3
75,"Turks and Caicos, Turks and Caicos",2
75,"Chicago, Illinois",3
75,"Houston, Texas",4
75,"Cape Town, South Africa",4
75,"Paris, France",5
75,"Nice, France",5
75,"Austin, Texas",4
75,"London, UK",3
75,"Gulf Shores, Alabama",1
75,"Jackson, Mississippi",2
75,"Orlando, Florida",2
75,"Geneva, Switzerland",5
75,"Dublin, Ireland",4
75,"Lexington, Kentucky",3
75,"Seoul, South Korea",4
75,"Vancouver, Canada",4
75,"Toronto, Canada",4
75,"Macau, China",3
75,"Lisbon, Portugal",3
75,"Rome, Italy",4
75,"Berlin, Germany",5
75,"Madrid, Spain",4
75,"Florence, Italy",4
75,"Milwaukee, Wisconsin",3
75,"Omaha, Nebraska",2
75,"Denver, Colorado",2
75,"San Diego, California",3
75,"Barcelona, Spain",3
75,"San Juan, Puerto Rico",1
75,"Athens, Greece",1
75,"St. John, Virgin Islands",3
75,"Miami, Florida",2
75,"Ogunquit, Maine",2
75,"Ocean City, Maryland",3
75,"Los Angeles, California",4
75,"Lake Tahoe, California",3
75,"Tokyo, Japan",5
75,"Copenhagen, Denmark",5
75,"Detroit, Michigan",2
75,"Phoenix, Arizona",3
75,"Boston, Massachusetts",3
75,"Lima, Peru",2
75,"Havana, Cuba",2
75,"San Francisco, California",4
75,"Istanbul, Turkey",1
75,"Rehobeth, Delaware",3
75,"Tulum, Mexico",2
75,"Durham, North Carolina",3
75,"St. Louis, Missouri",3
75,"Charlotte, North Carolina",3
75,"Key West, Florida",3
75,"Saigon, Vietnam",2
75,"Nashville, Tennessee",3
75,"Woodbury, Connecticut",3
75,"El Paso, Texas",3
75,"Seattle, Washington",5
75,"Dubrovnik, Croatia",5
75,"Amsterdam, Netherlands",5
75,"Kitzbuel, Austria",4
75,"Hartwell, Georgia",4
75,"Honolulu, Hawaii",4
75,"Watch Hill, Rhode Island",4
75,"New Delhi, India",1
75,"Las Vegas, Nevada",4
75,"Kathmandu, Nepal",2
75,"Sun Valley, Idaho",3
75,"Jackson Hole, Wyoming",3
75,"Albuquerque, New Mexico",3
75,"Kilimanjaro, Tanzania",2
75,"Nairobi, Kenya",1
75,"Washington D.C., U.S.",4
75,"San Antonio, Texas",3
75,"Brussels, Belgium",5
75,"Osa Peninsula, Costa Rica",2
75,"Red Frog Beach, Panama",5
75,"Ubud, Indonesia",2
75,"Buenos Aires, Argentina",3
75,"Belgrade, Serbia",3
75,"Bratislava, Slovakia",4
76,"Telluride, Colorado",4
76,"Aspen, Colorado",5
76,"New York City, New York",5
76,"New Orleans, Louisiana",5
76,"Cabo San Lucas, Mexico",5
76,"Belize City, Belize",3
76,"Cayman, Cayman Islands",4
76,"Houston, Texas",1
76,"Cape Town, South Africa",5
76,"Austin, Texas",5
76,"London, UK",5
76,"Gulf Shores, Alabama",2
76,"Orlando, Florida",3
76,"Milwaukee, Wisconsin",3
76,"Omaha, Nebraska",3
76,"Denver, Colorado",5
76,"San Diego, California",5
76,"Los Angeles, California",4
76,"Phoenix, Arizona",4
76,"St. Louis, Missouri",3
76,"Charlotte, North Carolina",3
76,"Washington D.C., U.S.",5
76,"San Antonio, Texas",3
77,"Telluride, Colorado",4
77,"Aspen, Colorado",5
77,"New York City, New York",5
77,"New Orleans, Louisiana",4
77,"Cabo San Lucas, Mexico",5
77,"Houston, Texas",5
77,"Austin, Texas",5
77,"Gulf Shores, Alabama",1
77,"Orlando, Florida",4
77,"Rome, Italy",4
77,"Berlin, Germany",5
77,"Madrid, Spain",4
77,"Florence, Italy",5
77,"Omaha, Nebraska",5
77,"Athens, Greece",4
77,"Phoenix, Arizona",4
77,"Nashville, Tennessee",4
77,"El Paso, Texas",1
77,"Amsterdam, Netherlands",5
77,"Washington D.C., U.S.",4
77,"San Antonio, Texas",3
78,"New Orleans, Louisiana",3
78,"Houston, Texas",3
78,"Austin, Texas",5
78,"Jackson, Mississippi",3
78,"Nashville, Tennessee",5
78,"Jackson Hole, Wyoming",5
79,"Harbour Island, Bahamas",4
79,"Telluride, Colorado",5
79,"Aspen, Colorado",4
79,"New York City, New York",3
79,"New Orleans, Louisiana",5
79,"Cabo San Lucas, Mexico",4
79,"Destin, Florida",5
79,"Belize City, Belize",3
79,"Chicago, Illinois",3
79,"Houston, Texas",2
79,"Cape Town, South Africa",3
79,"Paris, France",1
79,"Nice, France",2
79,"Austin, Texas",4
79,"London, UK",3
79,"Gulf Shores, Alabama",3
79,"Jackson, Mississippi",1
79,"Geneva, Switzerland",4
79,"Dublin, Ireland",4
79,"Lexington, Kentucky",1
79,"Seoul, South Korea",3
79,"Vancouver, Canada",3
79,"Toronto, Canada",3
79,"Macau, China",1
79,"Lisbon, Portugal",3
79,"Rome, Italy",1
79,"Berlin, Germany",4
79,"Madrid, Spain",3
79,"Florence, Italy",2
79,"Milwaukee, Wisconsin",1
79,"Omaha, Nebraska",1
79,"Denver, Colorado",5
79,"San Diego, California",3
79,"Barcelona, Spain",3
79,"San Juan, Puerto Rico",4
79,"Athens, Greece",5
79,"St. John, Virgin Islands",5
79,"Miami, Florida",3
79,"Ogunquit, Maine",2
79,"Ocean City, Maryland",2
79,"Los Angeles, California",3
79,"Lake Tahoe, California",5
79,"Tokyo, Japan",3
79,"Copenhagen, Denmark",3
79,"Detroit, Michigan",1
79,"Phoenix, Arizona",1
79,"Boston, Massachusetts",1
79,"Lima, Peru",2
79,"Havana, Cuba",3
79,"San Francisco, California",3
79,"Istanbul, Turkey",1
79,"Rehobeth, Delaware",2
79,"Tulum, Mexico",2
79,"Durham, North Carolina",2
79,"St. Louis, Missouri",4
79,"Charlotte, North Carolina",3
79,"Key West, Florida",4
79,"Saigon, Vietnam",1
79,"Nashville, Tennessee",5
79,"Woodbury, Connecticut",2
79,"El Paso, Texas",2
79,"Seattle, Washington",4
79,"Dubrovnik, Croatia",5
79,"Amsterdam, Netherlands",4
79,"Kitzbuel, Austria",2
79,"Hartwell, Georgia",2
79,"Honolulu, Hawaii",5
79,"Watch Hill, Rhode Island",2
79,"New Delhi, India",2
79,"Las Vegas, Nevada",4
79,"Kathmandu, Nepal",2
79,"Sun Valley, Idaho",2
79,"Jackson Hole, Wyoming",3
79,"Albuquerque, New Mexico",2
79,"Kilimanjaro, Tanzania",1
79,"Nairobi, Kenya",1
79,"Washington D.C., U.S.",4
79,"San Antonio, Texas",2
79,"Brussels, Belgium",4
79,"Osa Peninsula, Costa Rica",5
79,"Red Frog Beach, Panama",2
79,"Ubud, Indonesia",1
79,"Buenos Aires, Argentina",3
79,"Belgrade, Serbia",1
79,"Bratislava, Slovakia",1
80,"Harbour Island, Bahamas",5
80,"Telluride, Colorado",5
80,"Aspen, Colorado",4
80,"New York City, New York",2
80,"New Orleans, Louisiana",5
80,"Cabo San Lucas, Mexico",3
80,"Destin, Florida",2
80,"Belize City, Belize",5
80,"Cayman, Cayman Islands",5
80,"Punta Cana, Domican Republic",2
80,"Turks and Caicos, Turks and Caicos",5
80,"Chicago, Illinois",4
80,"Houston, Texas",2
80,"Cape Town, South Africa",4
80,"Paris, France",2
80,"Nice, France",4
80,"Austin, Texas",4
80,"London, UK",2
80,"Gulf Shores, Alabama",5
80,"Jackson, Mississippi",2
80,"Orlando, Florida",3
80,"Geneva, Switzerland",3
80,"Dublin, Ireland",3
80,"Lexington, Kentucky",3
80,"Seoul, South Korea",4
80,"Vancouver, Canada",4
80,"Toronto, Canada",2
80,"Macau, China",4
80,"Lisbon, Portugal",4
80,"Rome, Italy",4
80,"Berlin, Germany",4
80,"Madrid, Spain",3
80,"Florence, Italy",4
80,"Milwaukee, Wisconsin",3
80,"Omaha, Nebraska",2
80,"Denver, Colorado",4
80,"San Diego, California",3
80,"Barcelona, Spain",4
80,"San Juan, Puerto Rico",1
80,"Athens, Greece",2
80,"St. John, Virgin Islands",5
80,"Miami, Florida",4
80,"Ogunquit, Maine",2
80,"Ocean City, Maryland",4
80,"Los Angeles, California",3
80,"Lake Tahoe, California",4
80,"Tokyo, Japan",5
80,"Copenhagen, Denmark",4
80,"Detroit, Michigan",2
80,"Phoenix, Arizona",4
80,"Boston, Massachusetts",5
80,"Lima, Peru",3
80,"Havana, Cuba",4
80,"San Francisco, California",5
80,"Istanbul, Turkey",1
80,"Rehobeth, Delaware",2
80,"Tulum, Mexico",2
80,"Durham, North Carolina",4
80,"St. Louis, Missouri",4
80,"Charlotte, North Carolina",4
80,"Key West, Florida",2
80,"Saigon, Vietnam",4
80,"Nashville, Tennessee",4
80,"Woodbury, Connecticut",2
80,"El Paso, Texas",1
80,"Seattle, Washington",5
80,"Dubrovnik, Croatia",5
80,"Amsterdam, Netherlands",5
80,"Kitzbuel, Austria",4
80,"Hartwell, Georgia",2
80,"Honolulu, Hawaii",4
80,"Watch Hill, Rhode Island",2
80,"New Delhi, India",4
80,"Las Vegas, Nevada",3
80,"Kathmandu, Nepal",4
80,"Sun Valley, Idaho",5
80,"Jackson Hole, Wyoming",5
80,"Albuquerque, New Mexico",3
80,"Kilimanjaro, Tanzania",4
80,"Nairobi, Kenya",4
80,"Washington D.C., U.S.",4
80,"San Antonio, Texas",2
80,"Brussels, Belgium",4
80,"Osa Peninsula, Costa Rica",2
80,"Red Frog Beach, Panama",4
80,"Ubud, Indonesia",4
80,"Buenos Aires, Argentina",4
80,"Belgrade, Serbia",3
80,"Bratislava, Slovakia",2
81,"New York City, New York",5
81,"New Orleans, Louisiana",3
81,"Destin, Florida",3
81,"Houston, Texas",2
81,"Austin, Texas",5
81,"Madrid, Spain",5
81,"Denver, Colorado",2
81,"San Diego, California",4
81,"San Juan, Puerto Rico",4
81,"St. John, Virgin Islands",5
81,"Miami, Florida",2
81,"Los Angeles, California",3
81,"Phoenix, Arizona",2
81,"San Francisco, California",4
81,"Charlotte, North Carolina",3
81,"Honolulu, Hawaii",4
81,"San Antonio, Texas",2
82,"Aspen, Colorado",5
82,"New York City, New York",5
82,"New Orleans, Louisiana",5
82,"Destin, Florida",5
82,"Cayman, Cayman Islands",5
82,"Houston, Texas",4
82,"Austin, Texas",5
82,"Orlando, Florida",5
82,"Denver, Colorado",5
82,"Detroit, Michigan",3
82,"Boston, Massachusetts",4
82,"Seattle, Washington",5
82,"Jackson Hole, Wyoming",5
82,"Albuquerque, New Mexico",3
82,"Washington D.C., U.S.",5
82,"San Antonio, Texas",4
83,"New York City, New York",5
83,"Chicago, Illinois",5
83,"Paris, France",5
83,"London, UK",4
83,"Orlando, Florida",5
83,"Geneva, Switzerland",4
83,"Dublin, Ireland",5
83,"Lexington, Kentucky",4
83,"Boston, Massachusetts",3
